disease_id:ID,:LABEL,disease_name_raw,disease_name_norm,icd11_code,disease_group
disease:753004664d38,Disease,04-Diseases of the immune system,04-Diseases of the immune system,04,
disease:d8b94858e1b8,Disease,Malignant neoplasms,Malignant neoplasms,,
disease:13f6fef35dc1,Disease,5A40-Intermediate hyperglycaemia,5A40-Intermediate hyperglycaemia,5A40,
disease:4c2783706964,Disease,Aging-related disorders,Aging-related disorders,,
disease:639cdb96cd99,Disease,01-Certain infectious or parasitic diseases,01-Certain infectious or parasitic diseases,01,
disease:1fddeb02d9df,Disease,08-Diseases of the nervous system,08-Diseases of the nervous system,08,
disease:87c254ba292b,Disease,organ injury,organ injury,,
disease:6d2e44ff8ea0,Disease,MG22-Fatigue,MG22-Fatigue,MG22,
disease:bddebb3fd086,Disease,Radiation-related disorders,Radiation-related disorders,,
disease:10e359e155e9,Disease,5C8Z/5C8Y-lipoprotein metabolism disorder,5C8Z/5C8Y-lipoprotein metabolism disorder,5C8Z/5C8Y,
disease:db546fe0b93b,Disease,5C80.0-Hypercholesterolemia,5C80.0-Hypercholesterolemia,5C80.0,
disease:b147ce509f80,Disease,5B81-Obesity,5B81-Obesity,5B81,
disease:a03fd0d123d0,Disease,5A44-Insulin-resistance syndromes,5A44-Insulin-resistance syndromes,5A44,
disease:e04b56fff8c4,Disease,3B61-Thrombophilia,3B61-Thrombophilia,3B61,
