bond_id:ID,:LABEL,bond_text_raw,bond_signature,anomericity,donor_residue,acceptor_position
bond:eefdd65afc66,GlycosidicBond,"β-Manf-(1→5,6)","β-Manf-(1→5,6)",,,
bond:529d793ce9c9,GlycosidicBond,β-Manf-(1→4),β-Manf-(1→4),,,
bond:d7527f3c34fe,GlycosidicBond,α-Glcp-(1→1),α-Glcp-(1→1),,,
bond:1422dba28a18,GlycosidicBond,β-Galf-(1→1),β-Galf-(1→1),,,
bond:ee3b36648234,GlycosidicBond,β-xylose-(1→4),β-xylose-(1→4),,,
bond:b36dba22d2ee,GlycosidicBond,α-Arap-(1→)3,α-Arap-(1→)3,,,
bond:4341e8dcaf49,GlycosidicBond,β-Manp-(1→4),β-Manp-(1→4),,,
bond:6507e7302c35,GlycosidicBond,"α-Galp-(4,6→1)","α-Galp-(4,6→1)",,,
bond:f040c0dc3362,GlycosidicBond,β-Araf-(5→1),β-Araf-(5→1),,,
bond:9e772351c137,GlycosidicBond,α-Xylp-(4→1),α-Xylp-(4→1),,,
bond:c9e169e2ac4e,GlycosidicBond,α-GlcA-(2→1),α-GlcA-(2→1),,,
bond:c4533beb842e,GlycosidicBond,α-Galp-(1→6),α-Galp-(1→6),,,
bond:7c2c86b646c5,GlycosidicBond,β-Arap-(1→2),β-Arap-(1→2),,,
bond:5f5b8f9a3ede,GlycosidicBond,β-GlcA-(1→4),β-GlcA-(1→4),,,
bond:1931b27204fd,GlycosidicBond,"β-Manp-(1→3,6)","β-Manp-(1→3,6)",,,
bond:c1b10e35ea5c,GlycosidicBond,α-Manp-(1→3),α-Manp-(1→3),,,
bond:86a2d0abdf17,GlycosidicBond,"α-Manp-(1→ 2,6)","α-Manp-(1→ 2,6)",,,
bond:d1514ba18b2a,GlycosidicBond,"α-GalA6Me-(1→3,4)","α-GalA6Me-(1→3,4)",,,
bond:614d3667901f,GlycosidicBond,"α-Arap-(1→3,6)","α-Arap-(1→3,6)",,,
bond:a2cf9c45ddbf,GlycosidicBond,α-Rhap-(1→2),α-Rhap-(1→2),,,
bond:5d001718b32c,GlycosidicBond,α-Araf-(3→5),α-Araf-(3→5),,,
bond:ca969f5d253b,GlycosidicBond,"α-Manp-(1→4,6)","α-Manp-(1→4,6)",,,
bond:cc1677c585bf,GlycosidicBond,α-Galp-(1→4),α-Galp-(1→4),,,
bond:90e6645d4e3e,GlycosidicBond,α-Glcp-(4→1),α-Glcp-(4→1),,,
bond:ed446ca65aaf,GlycosidicBond,"β-Galp-(1→4,6)","β-Galp-(1→4,6)",,,
bond:70a9014cc23a,GlycosidicBond,"α-Glcp-(1→1,4)","α-Glcp-(1→1,4)",,,
bond:c4132e365903,GlycosidicBond,α-Glcp-(6→1),α-Glcp-(6→1),,,
bond:90e18407cfd8,GlycosidicBond,"α-Glcp-(1→4,6)","α-Glcp-(1→4,6)",,,
bond:bb61b5ac28c4,GlycosidicBond,β-Galp-(1→2),β-Galp-(1→2),,,
bond:d0c29fa08a4b,GlycosidicBond,α-Manp-(1→2),α-Manp-(1→2),,,
bond:7372fc450f24,GlycosidicBond,β-GlcA-(1→6),β-GlcA-(1→6),,,
bond:bf7035146e0d,GlycosidicBond,α-Glcp-(1→3),α-Glcp-(1→3),,,
bond:5eadc4236c1b,GlycosidicBond,α-Xylp-(1→4),α-Xylp-(1→4),,,
bond:9fc12cbd95c8,GlycosidicBond,α-GalA-(1→6),α-GalA-(1→6),,,
bond:b7480a2a6e50,GlycosidicBond,"β-Galp-(1→3,4)","β-Galp-(1→3,4)",,,
bond:0c9d302ed775,GlycosidicBond,"α-Glcp-(1→3,5)","α-Glcp-(1→3,5)",,,
bond:4e27cc9d4b72,GlycosidicBond,β-Araf-(1→5),β-Araf-(1→5),,,
bond:df3ba6c7ab0f,GlycosidicBond,α-Manp-(1→6),α-Manp-(1→6),,,
bond:54af7467d9e8,GlycosidicBond,α-Araf-(1→6),α-Araf-(1→6),,,
bond:ea382c001d13,GlycosidicBond,α-Glcp-(1→5),α-Glcp-(1→5),,,
bond:74b857aeb6e8,GlycosidicBond,α-Araf-(1→4),α-Araf-(1→4),,,
bond:35465f06d596,GlycosidicBond,β-Araf-(1→4),β-Araf-(1→4),,,
bond:f7e52b6f62cf,GlycosidicBond,"β-Galp-(1→3,6)","β-Galp-(1→3,6)",,,
bond:f1ce7ac79f7c,GlycosidicBond,"β-Galp-(1→2,4)","β-Galp-(1→2,4)",,,
bond:86524655e61a,GlycosidicBond,α-Rhap-(1→6),α-Rhap-(1→6),,,
bond:a6fd732a7854,GlycosidicBond,α-Manp-(1→4),α-Manp-(1→4),,,
bond:7b03d1db998b,GlycosidicBond,β-Galp-(1→5),β-Galp-(1→5),,,
bond:460faf5dd2e1,GlycosidicBond,α-GlcA-(1→4),α-GlcA-(1→4),,,
bond:95ce38c4f64b,GlycosidicBond,"α-Galp-(1→2,3,6)","α-Galp-(1→2,3,6)",,,
bond:9f98ef60c118,GlycosidicBond,β-Arap-(1→4),β-Arap-(1→4),,,
bond:38ac0a48d38f,GlycosidicBond,"α-Manp-(1→2,6)","α-Manp-(1→2,6)",,,
bond:ff7f51a102f8,GlycosidicBond,α-Glcp-(1→2),α-Glcp-(1→2),,,
bond:2a0addbdbf5e,GlycosidicBond,α-Arap-(1→3),α-Arap-(1→3),,,
bond:5d6031860a51,GlycosidicBond,"α-Rhap-(1→3,5)","α-Rhap-(1→3,5)",,,
bond:0c014ec4a783,GlycosidicBond,β-Glcp-(1→1),β-Glcp-(1→1),,,
bond:060c5a040bff,GlycosidicBond,β-Galp-(4→6),β-Galp-(4→6),,,
bond:795c789abba0,GlycosidicBond,α-Galp-(1→3),α-Galp-(1→3),,,
bond:1780e3ec8d43,GlycosidicBond,α-Rhap-(1→5),α-Rhap-(1→5),,,
bond:31f8a855b569,GlycosidicBond,β-GalNAc-(1→3),β-GalNAc-(1→3),,,
bond:10bb269dca4b,GlycosidicBond,α-Galp-(1→2),α-Galp-(1→2),,,
bond:766543d51514,GlycosidicBond,α-Galp-(1→1),α-Galp-(1→1),,,
bond:55190cce9a79,GlycosidicBond,β-Arap-(1→3),β-Arap-(1→3),,,
bond:bfe675f72c33,GlycosidicBond,β-Fruf-(2→1),β-Fruf-(2→1),,,
bond:e8446832bddb,GlycosidicBond,β-Fruf-(2→6),β-Fruf-(2→6),,,
bond:0432387e810d,GlycosidicBond,β-Glcp-(1→5),β-Glcp-(1→5),,,
bond:b160d69f5b9a,GlycosidicBond,β-Araf-(1→3),β-Araf-(1→3),,,
bond:a5fd3418d39b,GlycosidicBond,β-Araf-(1→6),β-Araf-(1→6),,,
bond:f2bff9b4a3ca,GlycosidicBond,β-Galp-(1→1),β-Galp-(1→1),,,
bond:fdd1577d13e6,GlycosidicBond,α-Fucp-(1→3),α-Fucp-(1→3),,,
bond:b5f52a9d6b9f,GlycosidicBond,α-Fucp-(3→4),α-Fucp-(3→4),,,
bond:7c5ec48130f5,GlycosidicBond,α-Xylp-(1→3),α-Xylp-(1→3),,,
bond:445bfbdae87b,GlycosidicBond,α-Glcp-(6→6),α-Glcp-(6→6),,,
bond:d59313a1cdad,GlycosidicBond,β-Xylp-(1→5),β-Xylp-(1→5),,,
bond:7a5ff602584c,GlycosidicBond,α-Galp-(4→2),α-Galp-(4→2),,,
bond:42a38aee9c46,GlycosidicBond,α-Manp-(3→2),α-Manp-(3→2),,,
bond:f71e000d8f88,GlycosidicBond,α-Glcp-(3→2),α-Glcp-(3→2),,,
bond:0ad0bbd820ab,GlycosidicBond,β-Fruf-(2→4),β-Fruf-(2→4),,,
bond:bf71a7aff854,GlycosidicBond,β-Manp-(1→6),β-Manp-(1→6),,,
bond:d5688f33a6b5,GlycosidicBond,β-GalA-(1→4),β-GalA-(1→4),,,
bond:5f2ab68039eb,GlycosidicBond,β-Calp-(1→6),β-Calp-(1→6),,,
bond:c63fd005fdf7,GlycosidicBond,"β-Glcp-(1,4→6)","β-Glcp-(1,4→6)",,,
bond:5e2fb8528c5d,GlycosidicBond,α-Rhap-(1→3),α-Rhap-(1→3),,,
bond:f203a0521c15,GlycosidicBond,"β-Araf-(1→3,6)","β-Araf-(1→3,6)",,,
