bond_id:ID,:LABEL,bond_text_raw,bond_signature,anomericity,donor_residue,acceptor_position
bond:1e2dd06cda88,GlycosidicBond,β-Galp-(6→3),β-Galp-(6→3),,,
bond:c0d3f352f391,GlycosidicBond,α-Galp-(4→1),α-Galp-(4→1),,,
bond:55015d99565b,GlycosidicBond,β-Xylp-(1→4）,β-Xylp-(1→4）,,,
bond:9c49f9db87aa,GlycosidicBond,α-GalpA-(1→4),α-GalpA-(1→4),,,
bond:46630ef02251,GlycosidicBond,Arap-(1→4),Arap-(1→4),,,
bond:bb5a4ede27e4,GlycosidicBond,β-Glcp-(l→4),β-Glcp-(l→4),,,
bond:e0297b9d5959,GlycosidicBond,β-Galp-(l→4),β-Galp-(l→4),,,
bond:3ce1d96052db,GlycosidicBond,α-GalA-(1→5),α-GalA-(1→5),,,
bond:cb9b7c6730f9,GlycosidicBond,β-ManNAc-(1→4),β-ManNAc-(1→4),,,
bond:92d15b2953f4,GlycosidicBond,α-Galp-(3→6),α-Galp-(3→6),,,
bond:05f456a1314f,GlycosidicBond,α-Fucp-(4→6),α-Fucp-(4→6),,,
bond:8ef0e68aeac3,GlycosidicBond,β-GlcA-(3→1),β-GlcA-(3→1),,,
bond:b77414b2467b,GlycosidicBond,α-Rhap-(4→1),α-Rhap-(4→1),,,
bond:84eb78476d8d,GlycosidicBond,α-Rhap-(3→1),α-Rhap-(3→1),,,
bond:880246a5fc44,GlycosidicBond,α-Rhap-(6→1),α-Rhap-(6→1),,,
bond:e10174916342,GlycosidicBond,α-GlcNAc-(1→2),α-GlcNAc-(1→2),,,
bond:67a3f820716f,GlycosidicBond,β-GlcNAc-(1→3),β-GlcNAc-(1→3),,,
bond:fbc58e43ea6c,GlycosidicBond,α-GlcNAc-(1→3),α-GlcNAc-(1→3),,,
bond:5ebf23dc057c,GlycosidicBond,α-Galf-(5→1),α-Galf-(5→1),,,
bond:928b46f8ffb3,GlycosidicBond,α-Glcp-(2→1),α-Glcp-(2→1),,,
bond:b1c3568ff7ef,GlycosidicBond,α-Glcp-(5→1),α-Glcp-(5→1),,,
bond:976171ef9283,GlycosidicBond,α-GlcN-(1→6),α-GlcN-(1→6),,,
bond:c8a6550abe53,GlycosidicBond,α-GaNAc-(1→3),α-GaNAc-(1→3),,,
bond:e142dc0e7e9d,GlycosidicBond,α-GaNAc-(1→4),α-GaNAc-(1→4),,,
bond:0e0becc4fb14,GlycosidicBond,α-GlcNAc-(1→6),α-GlcNAc-(1→6),,,
bond:d0352e13a470,GlycosidicBond,β-GalS-(1→4),β-GalS-(1→4),,,
bond:ca01a311757c,GlycosidicBond,α-GaplA-(1→4),α-GaplA-(1→4),,,
bond:da23895471b8,GlycosidicBond,β-GalpA2S-(1→4),β-GalpA2S-(1→4),,,
bond:9209d0f47766,GlycosidicBond,α-FucNAc-(1→3),α-FucNAc-(1→3),,,
bond:21c6b71d66eb,GlycosidicBond,α-Manp-(1→5),α-Manp-(1→5),,,
bond:a78c15233f73,GlycosidicBond,α-GlcpA-(1→6),α-GlcpA-(1→6),,,
bond:814ac1b5c01e,GlycosidicBond,α-D-Glcp-(1→4),α-D-Glcp-(1→4),,,
bond:2caeff331eae,GlycosidicBond,β-GlcAp-(1→4),β-GlcAp-(1→4),,,
bond:fb1fdd3e025d,GlycosidicBond,β-GalAp-(1→3),β-GalAp-(1→3),,,
bond:abb61d103b56,GlycosidicBond,β-GlcpA-(1→6),β-GlcpA-(1→6),,,
bond:d3400135eec4,GlycosidicBond,ß-Rhap-(1→2),ß-Rhap-(1→2),,,
bond:6b961ce192e7,GlycosidicBond,"ɑ-Galp-(1,3→6)","ɑ-Galp-(1,3→6)",,,
bond:1bdb9f2013ed,GlycosidicBond,"ɑ-Glcp-(1,2→6)","ɑ-Glcp-(1,2→6)",,,
bond:6257e5cb77c7,GlycosidicBond,β-GaNAc-(1→3),β-GaNAc-(1→3),,,
bond:61e08a9a6ab8,GlycosidicBond,β-GalA-(1→2),β-GalA-(1→2),,,
bond:8899c73ba33e,GlycosidicBond,"α-GalA-(1→2,3)","α-GalA-(1→2,3)",,,
bond:c887d565fa92,GlycosidicBond,α-Rhap-(2→4),α-Rhap-(2→4),,,
bond:bebe647b2001,GlycosidicBond,β-Galp-(1→36,β-Galp-(1→36,,,
bond:09885f8ec694,GlycosidicBond,"β-Arap-(1→1,2)","β-Arap-(1→1,2)",,,
bond:eed092e8995b,GlycosidicBond,α-Arap-(1→3):α-Glcp-(1→6),α-Arap-(1→3):α-Glcp-(1→6),,,
