:START_ID,:END_ID,:TYPE,source_record_id
dolphin::32810,10.1016/j.carbpol.2011.08.045,SUPPORTED_BY,32810
dolphin::32811,10.1016/j.ijbiomac.2018.09.138,SUPPORTED_BY,32811
dolphin::32812,10.1080/14786419.2018.1452017,SUPPORTED_BY,32812
dolphin::32813,10.1016/j.carres.2011.10.020,SUPPORTED_BY,32813
dolphin::32814,10.1016/j.carbpol.2015.03.066,SUPPORTED_BY,32814
dolphin::32815,10.1080/10286020.2014.898633,SUPPORTED_BY,32815
dolphin::32816,10.1016/j.ijbiomac.2017.02.003,SUPPORTED_BY,32816
dolphin::32817,10.1080/14786419.2015.1034711,SUPPORTED_BY,32817
dolphin::32818,10.1016/j.foodchem.2018.09.037,SUPPORTED_BY,32818
dolphin::32819,10.1080/14786419.2017.1350670,SUPPORTED_BY,32819
dolphin::32820,10.1016/j.ijbiomac.2017.07.060,SUPPORTED_BY,32820
dolphin::32821,10.1016/j.carbpol.2018.08.027,SUPPORTED_BY,32821
dolphin::32822,10.1016/j.carbpol.2018.08.027,SUPPORTED_BY,32822
dolphin::32823,10.1016/j.carbpol.2015.06.093,SUPPORTED_BY,32823
dolphin::32824,10.1016/j.carbpol.2015.10.102,SUPPORTED_BY,32824
dolphin::32825,10.1016/j.carbpol.2016.12.031,SUPPORTED_BY,32825
dolphin::32826,10.3892/mmr.2014.2786,SUPPORTED_BY,32826
dolphin::32827,10.1016/j.carbpol.2014.06.035,SUPPORTED_BY,32827
dolphin::32828,10.1016/j.carbpol.2021.118253,SUPPORTED_BY,32828
dolphin::32829,10.1016/j.ijbiomac.2022.02.073,SUPPORTED_BY,32829
dolphin::32830,10.1016/j.ijbiomac.2019.12.115,SUPPORTED_BY,32830
dolphin::32831,10.1016/j.jchromb.2020.122255,SUPPORTED_BY,32831
dolphin::32832,10.1016/j.jchromb.2020.122255,SUPPORTED_BY,32832
dolphin::32833,10.1111/1750-3841.14449,SUPPORTED_BY,32833
dolphin::32834,10.1016/j.ijbiomac.2023.124386,SUPPORTED_BY,32834
