source_id,target_id,edge_type
dolphin::32752,bond:cc1677c585bf,HAS_GLYCOSIDIC_BOND
dolphin::32753,bond:90e6645d4e3e,HAS_GLYCOSIDIC_BOND
dolphin::32754,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32754,bond:ed446ca65aaf,HAS_GLYCOSIDIC_BOND
dolphin::32754,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32755,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32756,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32757,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32757,bond:70a9014cc23a,HAS_GLYCOSIDIC_BOND
dolphin::32757,bond:c4132e365903,HAS_GLYCOSIDIC_BOND
dolphin::32758,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32758,bond:ed446ca65aaf,HAS_GLYCOSIDIC_BOND
dolphin::32759,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32759,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32759,bond:bb61b5ac28c4,HAS_GLYCOSIDIC_BOND
dolphin::32759,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32759,bond:ca969f5d253b,HAS_GLYCOSIDIC_BOND
dolphin::32759,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32760,bond:7372fc450f24,HAS_GLYCOSIDIC_BOND
dolphin::32760,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32760,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32761,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32761,bond:5eadc4236c1b,HAS_GLYCOSIDIC_BOND
dolphin::32761,bond:9fc12cbd95c8,HAS_GLYCOSIDIC_BOND
dolphin::32761,bond:b7480a2a6e50,HAS_GLYCOSIDIC_BOND
dolphin::32762,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32762,bond:0c9d302ed775,HAS_GLYCOSIDIC_BOND
dolphin::32762,bond:4e27cc9d4b72,HAS_GLYCOSIDIC_BOND
dolphin::32763,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32764,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32764,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32764,bond:df3ba6c7ab0f,HAS_GLYCOSIDIC_BOND
dolphin::32765,bond:54af7467d9e8,HAS_GLYCOSIDIC_BOND
dolphin::32765,bond:ea382c001d13,HAS_GLYCOSIDIC_BOND
dolphin::32765,bond:74b857aeb6e8,HAS_GLYCOSIDIC_BOND
dolphin::32765,bond:14d097721c42,HAS_GLYCOSIDIC_BOND
dolphin::32766,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32766,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32766,bond:a7301c11d9f4,HAS_GLYCOSIDIC_BOND
dolphin::32766,bond:432da5937745,HAS_GLYCOSIDIC_BOND
dolphin::32767,bond:35465f06d596,HAS_GLYCOSIDIC_BOND
dolphin::32767,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32767,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32767,bond:f7e52b6f62cf,HAS_GLYCOSIDIC_BOND
dolphin::32768,bond:74b857aeb6e8,HAS_GLYCOSIDIC_BOND
dolphin::32768,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32768,bond:f1ce7ac79f7c,HAS_GLYCOSIDIC_BOND
dolphin::32768,bond:86524655e61a,HAS_GLYCOSIDIC_BOND
dolphin::32768,bond:5f5b8f9a3ede,HAS_GLYCOSIDIC_BOND
dolphin::32769,bond:b49a301d3721,HAS_GLYCOSIDIC_BOND
dolphin::32771,bond:4341e8dcaf49,HAS_GLYCOSIDIC_BOND
dolphin::32771,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32772,bond:4341e8dcaf49,HAS_GLYCOSIDIC_BOND
dolphin::32772,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32774,bond:cc3d4eb4b5f1,HAS_GLYCOSIDIC_BOND
dolphin::32774,bond:a6fd732a7854,HAS_GLYCOSIDIC_BOND
dolphin::32774,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32774,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32775,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32775,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32775,bond:7b03d1db998b,HAS_GLYCOSIDIC_BOND
dolphin::32775,bond:54af7467d9e8,HAS_GLYCOSIDIC_BOND
dolphin::32776,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32776,bond:a6fd732a7854,HAS_GLYCOSIDIC_BOND
dolphin::32776,bond:460faf5dd2e1,HAS_GLYCOSIDIC_BOND
dolphin::32776,bond:88a9bc17c010,HAS_GLYCOSIDIC_BOND
dolphin::32776,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32776,bond:95ce38c4f64b,HAS_GLYCOSIDIC_BOND
dolphin::32777,bond:9f98ef60c118,HAS_GLYCOSIDIC_BOND
dolphin::32777,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32777,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32777,bond:38ac0a48d38f,HAS_GLYCOSIDIC_BOND
dolphin::32777,bond:df3ba6c7ab0f,HAS_GLYCOSIDIC_BOND
dolphin::32778,bond:ff7f51a102f8,HAS_GLYCOSIDIC_BOND
dolphin::32779,bond:cc3d4eb4b5f1,HAS_GLYCOSIDIC_BOND
dolphin::32780,bond:38ac0a48d38f,HAS_GLYCOSIDIC_BOND
dolphin::32780,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32780,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32781,bond:2a0addbdbf5e,HAS_GLYCOSIDIC_BOND
dolphin::32781,bond:38ac0a48d38f,HAS_GLYCOSIDIC_BOND
dolphin::32781,bond:a6fd732a7854,HAS_GLYCOSIDIC_BOND
dolphin::32781,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32782,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32782,bond:38ac0a48d38f,HAS_GLYCOSIDIC_BOND
dolphin::32783,bond:05ccd11fb583,HAS_GLYCOSIDIC_BOND
dolphin::32783,bond:5d6031860a51,HAS_GLYCOSIDIC_BOND
dolphin::32783,bond:666c5efc54b1,HAS_GLYCOSIDIC_BOND
dolphin::32783,bond:74b857aeb6e8,HAS_GLYCOSIDIC_BOND
dolphin::32783,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32783,bond:cc1677c585bf,HAS_GLYCOSIDIC_BOND
dolphin::32784,bond:0c014ec4a783,HAS_GLYCOSIDIC_BOND
dolphin::32784,bond:060c5a040bff,HAS_GLYCOSIDIC_BOND
dolphin::32784,bond:795c789abba0,HAS_GLYCOSIDIC_BOND
dolphin::32784,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32784,bond:1780e3ec8d43,HAS_GLYCOSIDIC_BOND
dolphin::32784,bond:31f8a855b569,HAS_GLYCOSIDIC_BOND
dolphin::32785,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32785,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32785,bond:d7527f3c34fe,HAS_GLYCOSIDIC_BOND
dolphin::32786,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32786,bond:568c1e7f2c49,HAS_GLYCOSIDIC_BOND
dolphin::32787,bond:10bb269dca4b,HAS_GLYCOSIDIC_BOND
dolphin::32787,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32787,bond:766543d51514,HAS_GLYCOSIDIC_BOND
dolphin::32787,bond:55190cce9a79,HAS_GLYCOSIDIC_BOND
dolphin::32788,bond:d7527f3c34fe,HAS_GLYCOSIDIC_BOND
dolphin::32788,bond:bfe675f72c33,HAS_GLYCOSIDIC_BOND
dolphin::32788,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32788,bond:e8446832bddb,HAS_GLYCOSIDIC_BOND
dolphin::32789,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32789,bond:f7e52b6f62cf,HAS_GLYCOSIDIC_BOND
dolphin::32789,bond:0432387e810d,HAS_GLYCOSIDIC_BOND
dolphin::32789,bond:4e27cc9d4b72,HAS_GLYCOSIDIC_BOND
dolphin::32789,bond:b160d69f5b9a,HAS_GLYCOSIDIC_BOND
dolphin::32790,bond:7b03d1db998b,HAS_GLYCOSIDIC_BOND
dolphin::32790,bond:a5fd3418d39b,HAS_GLYCOSIDIC_BOND
dolphin::32790,bond:14d097721c42,HAS_GLYCOSIDIC_BOND
dolphin::32790,bond:7c2c86b646c5,HAS_GLYCOSIDIC_BOND
dolphin::32790,bond:f2bff9b4a3ca,HAS_GLYCOSIDIC_BOND
dolphin::32790,bond:b160d69f5b9a,HAS_GLYCOSIDIC_BOND
dolphin::32791,bond:7eb0181e5395,HAS_GLYCOSIDIC_BOND
dolphin::32791,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32791,bond:fed568ac0d58,HAS_GLYCOSIDIC_BOND
dolphin::32791,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32791,bond:fdd1577d13e6,HAS_GLYCOSIDIC_BOND
dolphin::32792,bond:df3ba6c7ab0f,HAS_GLYCOSIDIC_BOND
dolphin::32793,bond:fdd1577d13e6,HAS_GLYCOSIDIC_BOND
dolphin::32794,bond:fdd1577d13e6,HAS_GLYCOSIDIC_BOND
dolphin::32795,bond:fdd1577d13e6,HAS_GLYCOSIDIC_BOND
dolphin::32796,bond:14d097721c42,HAS_GLYCOSIDIC_BOND
dolphin::32796,bond:b49a301d3721,HAS_GLYCOSIDIC_BOND
dolphin::32797,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32797,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32797,bond:c4533beb842e,HAS_GLYCOSIDIC_BOND
dolphin::32797,bond:05ccd11fb583,HAS_GLYCOSIDIC_BOND
dolphin::32798,bond:cc1677c585bf,HAS_GLYCOSIDIC_BOND
dolphin::32798,bond:b5f52a9d6b9f,HAS_GLYCOSIDIC_BOND
dolphin::32798,bond:7c5ec48130f5,HAS_GLYCOSIDIC_BOND
dolphin::32798,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32799,bond:0391cd25bbaf,HAS_GLYCOSIDIC_BOND
dolphin::32799,bond:a7301c11d9f4,HAS_GLYCOSIDIC_BOND
dolphin::32799,bond:766543d51514,HAS_GLYCOSIDIC_BOND
dolphin::32799,bond:fed568ac0d58,HAS_GLYCOSIDIC_BOND
dolphin::32800,bond:445bfbdae87b,HAS_GLYCOSIDIC_BOND
dolphin::32800,bond:bf7035146e0d,HAS_GLYCOSIDIC_BOND
dolphin::32800,bond:d59313a1cdad,HAS_GLYCOSIDIC_BOND
dolphin::32801,bond:7a5ff602584c,HAS_GLYCOSIDIC_BOND
dolphin::32801,bond:42a38aee9c46,HAS_GLYCOSIDIC_BOND
dolphin::32801,bond:f71e000d8f88,HAS_GLYCOSIDIC_BOND
dolphin::32801,bond:7298acf1fa37,HAS_GLYCOSIDIC_BOND
dolphin::32802,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32803,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32804,bond:ff7f51a102f8,HAS_GLYCOSIDIC_BOND
dolphin::32804,bond:90e18407cfd8,HAS_GLYCOSIDIC_BOND
dolphin::32804,bond:0ad0bbd820ab,HAS_GLYCOSIDIC_BOND
dolphin::32805,bond:74b857aeb6e8,HAS_GLYCOSIDIC_BOND
dolphin::32805,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
dolphin::32806,bond:49c88a83e4c2,HAS_GLYCOSIDIC_BOND
dolphin::32806,bond:bf71a7aff854,HAS_GLYCOSIDIC_BOND
dolphin::32807,bond:d5688f33a6b5,HAS_GLYCOSIDIC_BOND
dolphin::32807,bond:05ccd11fb583,HAS_GLYCOSIDIC_BOND
dolphin::32807,bond:a2cf9c45ddbf,HAS_GLYCOSIDIC_BOND
dolphin::32807,bond:9ef0e89bad3c,HAS_GLYCOSIDIC_BOND
dolphin::32807,bond:568c1e7f2c49,HAS_GLYCOSIDIC_BOND
dolphin::32808,bond:14d097721c42,HAS_GLYCOSIDIC_BOND
dolphin::32808,bond:380ef2e4ac6d,HAS_GLYCOSIDIC_BOND
dolphin::32808,bond:bf71a7aff854,HAS_GLYCOSIDIC_BOND
dolphin::32808,bond:df3ba6c7ab0f,HAS_GLYCOSIDIC_BOND
dolphin::32808,bond:5f2ab68039eb,HAS_GLYCOSIDIC_BOND
dolphin::32809,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32809,bond:c63fd005fdf7,HAS_GLYCOSIDIC_BOND
dolphin::32809,bond:b49a301d3721,HAS_GLYCOSIDIC_BOND
dolphin::32810,bond:05ccd11fb583,HAS_GLYCOSIDIC_BOND
dolphin::32810,bond:4927d2a793bf,HAS_GLYCOSIDIC_BOND
dolphin::32810,bond:a7301c11d9f4,HAS_GLYCOSIDIC_BOND
dolphin::32810,bond:f7e52b6f62cf,HAS_GLYCOSIDIC_BOND
dolphin::32810,bond:5e2fb8528c5d,HAS_GLYCOSIDIC_BOND
dolphin::32810,bond:fed568ac0d58,HAS_GLYCOSIDIC_BOND
dolphin::32811,bond:0c014ec4a783,HAS_GLYCOSIDIC_BOND
dolphin::32811,bond:060c5a040bff,HAS_GLYCOSIDIC_BOND
dolphin::32811,bond:795c789abba0,HAS_GLYCOSIDIC_BOND
dolphin::32811,bond:d0c29fa08a4b,HAS_GLYCOSIDIC_BOND
dolphin::32811,bond:1780e3ec8d43,HAS_GLYCOSIDIC_BOND
dolphin::32812,bond:3290b3f34adc,HAS_GLYCOSIDIC_BOND
dolphin::32812,bond:f203a0521c15,HAS_GLYCOSIDIC_BOND
dolphin::32812,bond:c1b10e35ea5c,HAS_GLYCOSIDIC_BOND
dolphin::32812,bond:cc1677c585bf,HAS_GLYCOSIDIC_BOND
dolphin::32812,bond:15c5899bdb60,HAS_GLYCOSIDIC_BOND
